accuracy,loss,val_accuracy,val_loss,epoch,signal
0.7266333699226379,0.7086763381958008,0.7037869095802307,1.093180537223816,0.0,
0.7778714299201965,0.5521917343139648,0.6997919082641602,1.18202805519104,1.0,
0.8038701415061951,0.4906802177429199,0.6829379796981812,1.2998573780059814,2.0,
0.8180503249168396,0.45540371537208557,0.6863920092582703,1.3771371841430664,3.0,
0.8258218765258789,0.4388195872306824,0.6856429576873779,1.3149263858795166,4.0,
0.8292135000228882,0.42878982424736023,0.6878485083580017,1.3860702514648438,5.0,
0.8311277627944946,0.42556512355804443,0.6917186975479126,1.4073339700698853,6.0,
0.8305451273918152,0.41949284076690674,0.6913025379180908,1.4164800643920898,7.0,
0.832636296749115,0.4174231290817261,0.6924261450767517,1.4189362525939941,8.0,
0.8348626494407654,0.411726176738739,0.6813566088676453,1.5084741115570068,9.0,
,,,,,"[0.6656597256660461, 0.7983249425888062]"
