accuracy,loss,val_accuracy,val_loss,epoch,signal
0.6280472874641418,0.8641873598098755,0.6758706569671631,0.6587434411048889,0.0,
0.7687966227531433,0.4559110105037689,0.7559079527854919,0.43808305263519287,1.0,
0.7967817187309265,0.3923886716365814,0.7248756289482117,0.49118876457214355,2.0,
0.8102767467498779,0.3614141345024109,0.7486318349838257,0.45876556634902954,3.0,
0.815282940864563,0.35389941930770874,0.7440298795700073,0.4642866551876068,4.0,
0.8196361660957336,0.34090253710746765,0.7526119351387024,0.43513157963752747,5.0,
0.8220460414886475,0.3329070806503296,0.7330223917961121,0.5569862127304077,6.0,
0.8239894509315491,0.32706815004348755,0.7679104208946228,0.3980509638786316,7.0,
0.8232898116111755,0.32823115587234497,0.7619403004646301,0.41767778992652893,8.0,
0.8291355967521667,0.323885440826416,0.759452760219574,0.4232885539531708,9.0,
0.828125,0.3139174282550812,0.7568408250808716,0.42181262373924255,10.0,
0.8292443752288818,0.3182283043861389,0.761256217956543,0.42074111104011536,11.0,
0.8307369351387024,0.3120984137058258,0.768034815788269,0.4017113447189331,12.0,
0.8311567306518555,0.3123925030231476,0.755534827709198,0.44740843772888184,13.0,
0.8317941427230835,0.31060320138931274,0.7695273756980896,0.40583670139312744,14.0,
0.8303638100624084,0.3125273585319519,0.751990020275116,0.45070722699165344,15.0,
0.8350591063499451,0.2992534339427948,0.7605721354484558,0.44928738474845886,16.0,
0.8308923840522766,0.3072214722633362,0.7700870633125305,0.3872418701648712,17.0,
0.8307524919509888,0.30863478779792786,0.7690920233726501,0.39816856384277344,18.0,
0.8324782252311707,0.30217042565345764,0.7567785978317261,0.4261757731437683,19.0,
,,,,,"[0.3461068868637085, 0.8016836643218994]"
