accuracy,loss,val_accuracy,val_loss,epoch,signal
0.7602207064628601,0.5989975929260254,0.5738861560821533,0.8582820296287537,0.0,
0.8382322788238525,0.3335438668727875,0.7317656874656677,0.49268263578414917,1.0,
0.8715449571609497,0.252819687128067,0.7455857992172241,0.4552479386329651,2.0,
0.8794038891792297,0.23702384531497955,0.7342409491539001,0.5234925150871277,3.0,
0.8860664367675781,0.2203936129808426,0.7387788891792297,0.531822919845581,4.0,
0.88803631067276,0.218252032995224,0.7585808634757996,0.4334556460380554,5.0,
0.8905218839645386,0.2094389945268631,0.7679042816162109,0.4095984399318695,6.0,
0.8913366198539734,0.21075044572353363,0.775536298751831,0.38387173414230347,7.0,
0.8909550309181213,0.2121085226535797,0.77339106798172,0.427306205034256,8.0,
0.8935849666595459,0.20742075145244598,0.772566020488739,0.44933760166168213,9.0,
,,,,,"[0.23356254398822784, 0.8828819394111633]"
