accuracy,loss,val_accuracy,val_loss,epoch,signal
0.5914540886878967,0.9467076063156128,0.6298894286155701,1.3574880361557007,0.0,
0.6925063729286194,0.6962297558784485,0.6395407915115356,1.353145956993103,1.0,
0.7248193025588989,0.6287580728530884,0.634991466999054,1.451465129852295,2.0,
0.7446641325950623,0.5873711705207825,0.6360543966293335,1.5041916370391846,3.0,
0.7549744844436646,0.5630525946617126,0.6428996324539185,1.602656364440918,4.0,
0.7642857432365417,0.5461353063583374,0.6497023701667786,1.4542303085327148,5.0,
0.7706632614135742,0.5336377024650574,0.6567176580429077,1.517730712890625,6.0,
0.7760204076766968,0.5278770327568054,0.6466411352157593,1.4911611080169678,7.0,
0.7795493006706238,0.5163112878799438,0.6491496562957764,1.5105406045913696,8.0,
0.7783482074737549,0.5118367075920105,0.6532312631607056,1.678062081336975,9.0,
,,,,,"[0.7541038393974304, 0.7527469396591187]"
