loss,accuracy,val_loss,val_accuracy,epoch,signal
0.05177773907780647,0.9869150519371033,0.00015339214587584138,1.0,0.0,
5.056070949649438e-05,1.0,3.91804933315143e-05,1.0,1.0,
1.566261016705539e-05,1.0,1.5628042092430405e-05,1.0,2.0,
6.670040420431178e-06,1.0,7.44100407246151e-06,1.0,3.0,
3.2398786515841493e-06,1.0,3.874221420119284e-06,1.0,4.0,
1.6853842907949002e-06,1.0,2.0913055323035223e-06,1.0,5.0,
9.068413078239246e-07,1.0,1.1525982017701608e-06,1.0,6.0,
4.984106567462732e-07,1.0,6.546812301166938e-07,1.0,7.0,
2.782258832212392e-07,1.0,3.7713857636845205e-07,1.0,8.0,
1.5629333915967436e-07,1.0,2.129764737901496e-07,1.0,9.0,
,,,,,"[1.5504814143696422e-07, 1.0]"
