loss,accuracy,val_loss,val_accuracy,epoch,signal
0.5825342535972595,0.7586650252342224,0.8575379848480225,0.5817164182662964,0.0,
0.33696821331977844,0.8399150371551514,0.6456535458564758,0.6891376376152039,1.0,
0.2849906086921692,0.8636505007743835,0.4500730037689209,0.7494610548019409,2.0,
0.27405908703804016,0.8690713047981262,0.5417483448982239,0.7197346687316895,3.0,
0.2563266158103943,0.8741397261619568,0.4964095652103424,0.7364428043365479,4.0,
0.2493419498205185,0.8775497674942017,0.5589858889579773,0.7235074639320374,5.0,
0.2677569091320038,0.8735385537147522,0.46062326431274414,0.7493366599082947,6.0,
0.25225937366485596,0.8777155876159668,0.46821725368499756,0.7531094551086426,7.0,
0.24235807359218597,0.8814676403999329,0.5294871926307678,0.7475124597549438,8.0,
0.24225018918514252,0.883561372756958,0.39525917172431946,0.7745854258537292,9.0,
,,,,,"[0.2379593849182129, 0.873435378074646]"
