loss,accuracy,val_loss,val_accuracy,epoch,signal
0.6119956374168396,0.7961981296539307,1.0935243368148804,0.6981915235519409,0.0,
0.4984218180179596,0.8189683556556702,1.1370728015899658,0.6937525868415833,1.0,
0.4535399079322815,0.8316892981529236,1.217376470565796,0.6816686987876892,2.0,
0.4276992976665497,0.8404541611671448,1.307429552078247,0.679161548614502,3.0,
0.41005071997642517,0.8479243516921997,1.2687526941299438,0.6790382266044617,4.0,
0.4031004309654236,0.850113034248352,1.3789159059524536,0.6668722033500671,5.0,
0.3977220058441162,0.8530107140541077,1.198436975479126,0.6842581033706665,6.0,
0.389616459608078,0.8575318455696106,1.2730423212051392,0.6823263168334961,7.0,
0.38666120171546936,0.8590320348739624,1.322413682937622,0.6705302000045776,8.0,
0.38471367955207825,0.8595560789108276,1.2445868253707886,0.6787916421890259,9.0,
,,,,,"[0.5308560729026794, 0.8267725110054016]"
