accuracy,loss,val_accuracy,val_loss,epoch,test_loss
1.0,1.333714862994384e-07,1.0,3.420616963012435e-07,31.0,
1.0,8.53814015044918e-08,1.0,1.904710131839238e-07,32.0,
1.0,5.2992771060189625e-08,1.0,1.0515101678265637e-07,33.0,
1.0,3.4092764167326095e-08,1.0,5.964968607941046e-08,34.0,
1.0,2.128573584059268e-08,1.0,4.613848858525671e-08,35.0,
1.0,1.3731027870278467e-08,1.0,2.997636627810607e-08,36.0,
1.0,9.14139608454434e-09,1.0,1.5753174764654432e-08,37.0,
1.0,5.702959438025346e-09,1.0,1.3223564465647542e-08,38.0,
1.0,4.0784104982094505e-09,1.0,1.1527079735174084e-08,39.0,
0.9948856234550476,0.037850379943847656,1.0,0.00034555146703496575,40.0,
1.0,2.3698505174252205e-05,1.0,0.00010392722469987348,41.0,
1.0,9.916370800056029e-06,1.0,4.858100146520883e-05,42.0,
1.0,6.110933099989779e-06,1.0,2.521405440347735e-05,43.0,
1.0,3.843910690193297e-06,1.0,1.3806078641209751e-05,44.0,
1.0,2.49419917963678e-06,1.0,7.872091373428702e-06,45.0,
1.0,1.7302581909461878e-06,1.0,4.523384632193483e-06,46.0,
1.0,1.0752630714705447e-06,1.0,2.9071011340420227e-06,47.0,
1.0,6.615834422518674e-07,1.0,1.8571190594229847e-06,48.0,
1.0,4.2636887087610376e-07,1.0,8.786009857431054e-07,49.0,
1.0,2.7244388434155553e-07,1.0,4.868713858741103e-07,50.0,
1.0,1.761277133027761e-07,1.0,2.9489538633242773e-07,51.0,
1.0,1.1271436051174533e-07,1.0,1.889598166826545e-07,52.0,
1.0,7.213506592051999e-08,1.0,1.280842525375192e-07,53.0,
1.0,4.568419598172113e-08,1.0,8.574818366469117e-08,54.0,
1.0,2.8276202712618215e-08,1.0,6.19823765646288e-08,55.0,
1.0,1.762387569215207e-08,1.0,3.930708558641527e-08,56.0,
1.0,1.0822744478389268e-08,1.0,2.6265359664989774e-08,57.0,
1.0,6.365653337780941e-09,1.0,1.6237876820923702e-08,58.0,
1.0,3.7754652737476135e-09,1.0,1.2647977776225616e-08,59.0,
1.0,2.412207544821854e-09,1.0,7.073784669131555e-09,60.0,
1.0,1.3973388002241904e-09,1.0,4.650218876633971e-09,61.0,
1.0,9.012645074690795e-10,1.0,3.196079845224631e-09,62.0,
1.0,5.64237045974636e-10,1.0,2.2266528620917825e-09,63.0,
1.0,4.127640174100833e-10,1.0,2.1206219003033766e-09,64.0,
1.0,2.612909888455306e-10,1.0,1.2572259899812366e-09,65.0,
1.0,1.931281246037031e-10,1.0,9.997217498280975e-10,66.0,
1.0,1.3253889652453665e-10,1.0,7.725123318813587e-10,67.0,
1.0,9.088382130206796e-11,1.0,9.239852771791845e-10,68.0,
1.0,8.709699628184353e-11,1.0,9.997217498280975e-10,69.0,
1.0,6.816286424182749e-11,1.0,1.2875195354311586e-09,70.0,
1.0,2.6507782080464892e-11,1.0,7.119229650243142e-10,71.0,
1.0,3.4081432120913746e-11,1.0,1.3632558415466178e-09,72.0,
1.0,4.9228735671258406e-11,1.0,1.1663418009177917e-09,73.0,
1.0,2.272095532551699e-11,1.0,8.179538713015688e-10,74.0,
1.0,3.4081432120913746e-11,1.0,6.816283093513675e-10,75.0,
1.0,4.165508563080955e-11,1.0,2.1660564453185316e-09,76.0,
1.0,1.0603112138296567e-10,1.0,5.150082582616733e-10,77.0,
1.0,3.4081432120913746e-11,1.0,5.755972920518104e-10,78.0,
0.9965375065803528,0.02391526661813259,1.0,7.676929271838162e-06,79.0,
1.0,1.5042805898701772e-06,1.0,4.247390279488172e-06,80.0,
1.0,5.647746093018213e-07,1.0,4.0338945836992934e-06,81.0,
1.0,4.1902822545125673e-07,1.0,3.764451321330853e-06,82.0,
1.0,3.178582801410812e-07,1.0,3.4016020435956307e-06,83.0,
1.0,2.3395654125124565e-07,1.0,3.020336180270533e-06,84.0,
1.0,1.686592980831847e-07,1.0,2.5633037239458645e-06,85.0,
1.0,1.1780542052974852e-07,1.0,2.086214863084024e-06,86.0,
1.0,8.063930323487511e-08,1.0,1.6389886923207087e-06,87.0,
1.0,5.390126034399145e-08,1.0,1.2352331850706832e-06,88.0,
