loss,accuracy,val_loss,val_accuracy,epoch
0.0,1.0,5.938195768440124e-11,1.0,80
0.0,1.0,1.484548872721092e-10,1.0,81
1.1134117065825233e-11,1.0,4.453646826330093e-11,1.0,82
7.422744710550155e-12,1.0,5.938195768440124e-11,1.0,83
0.0,1.0,8.907293652660186e-11,1.0,84
7.422744710550155e-12,1.0,1.484548942110031e-11,1.0,85
7.422744710550155e-12,1.0,2.969097884220062e-11,1.0,86
2.2268234131650466e-11,1.0,6.828925203095082e-10,1.0,87
0.0203336700797081,0.9977583885192871,6.835453859821428e-06,1.0,88
1.5246718021444394e-07,1.0,5.0866765377577394e-06,1.0,89
9.737729556036356e-08,1.0,4.10270513384603e-06,1.0,90
6.756675929864286e-08,1.0,3.256677928220597e-06,1.0,91
4.7608459396997205e-08,1.0,2.4295252387673827e-06,1.0,92
3.349462929236324e-08,1.0,1.7738015003487817e-06,1.0,93
2.374147278771943e-08,1.0,1.245710336661432e-06,1.0,94
1.6712226269532948e-08,1.0,8.316317234857706e-07,1.0,95
1.169078966967163e-08,1.0,5.35173626303731e-07,1.0,96
8.035106802140035e-09,1.0,3.542934052802593e-07,1.0,97
5.5781868013582425e-09,1.0,2.3834540741063392e-07,1.0,98
3.70394692694731e-09,1.0,1.6139544811721862e-07,1.0,99
